title,year,url,checkedcount,favouritecount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
"Outside the Wire",2021,http://www.icheckmovies.com/movies/outside+the+wire/,130,3,0,2,,http://www.imdb.com/title/tt10451914/,"2021-01-21 16:41:57",no,no,no,no
"Palm Springs",2020,http://www.icheckmovies.com/movies/palm+springs-2020/,1539,126,0,56,,http://www.imdb.com/title/tt9484998/,"2021-01-01 19:28:07",no,no,no,no
"Salem's Lot",1979,http://www.icheckmovies.com/movies/salems+lot/,3066,80,1,113,,http://www.imdb.com/title/tt0079844/,"2020-12-31 03:41:10",no,no,no,no
Ratatouille,2007,http://www.icheckmovies.com/movies/ratatouille/,103996,5276,10,654,,http://www.imdb.com/title/tt0382932/,"2020-12-26 22:33:26",no,no,yes,no
Underwater,2020,http://www.icheckmovies.com/movies/underwater-2020/,787,15,0,34,,http://www.imdb.com/title/tt5774060/,"2020-12-26 19:48:51",no,no,no,no
"Wonder Woman 1984",2020,http://www.icheckmovies.com/movies/wonder+woman+1984/,1303,20,0,34,,http://www.imdb.com/title/tt7126948/,"2020-12-26 19:48:06",no,no,no,no
Soul,2020,http://www.icheckmovies.com/movies/soul-2020/,2510,220,7,61,,http://www.imdb.com/title/tt2948372/,"2020-12-26 19:47:13",no,no,no,no
"I'm Thinking of Ending Things",2020,http://www.icheckmovies.com/movies/im+thinking+of+ending+things/,1601,103,0,62,,http://www.imdb.com/title/tt7939766/,"2020-12-22 04:06:27",no,no,no,no
Replicas,2018,http://www.icheckmovies.com/movies/replicas/,371,2,0,10,,http://www.imdb.com/title/tt4154916/,"2020-12-20 04:12:15",no,no,no,no
"The Final Girls",2015,http://www.icheckmovies.com/movies/the+final+girls/,1223,76,1,67,,http://www.imdb.com/title/tt2118624/,"2020-12-02 18:59:22",no,no,no,no
"Scare Me",2020,http://www.icheckmovies.com/movies/scare+me-2020/,55,2,0,3,,http://www.imdb.com/title/tt10126434/,"2020-11-16 19:28:04",no,no,no,no
Phenomena,1985,http://www.icheckmovies.com/movies/phenomena/,2329,147,1,184,,http://www.imdb.com/title/tt0087909/,"2020-10-30 17:15:00",no,no,no,no
Dèmoni,1985,http://www.icheckmovies.com/movies/demoni/,1662,89,2,151,Demons,http://www.imdb.com/title/tt0089013/,"2020-10-27 19:44:05",no,no,no,no
