rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"The Shawshank Redemption",1994,http://www.icheckmovies.com/movies/the+shawshank+redemption/,109616,16653,393,21,1276,,http://www.imdb.com/title/tt0111161/,"2009-11-14 17:45:35",no,no,no,no
2,0,"The Godfather",1972,http://www.icheckmovies.com/movies/the+godfather/,95059,12832,424,40,1720,,http://www.imdb.com/title/tt0068646/,"2009-11-14 17:44:26",yes,no,no,no
3,0,"The Godfather: Part II",1974,http://www.icheckmovies.com/movies/the+godfather+part+ii/,71973,7987,261,30,1304,,http://www.imdb.com/title/tt0071562/,"2009-11-14 17:44:27",no,no,no,no
4,0,"The Dark Knight",2008,http://www.icheckmovies.com/movies/the+dark+knight/,139443,16929,788,24,1500,,http://www.imdb.com/title/tt0468569/,"2009-11-14 17:44:30",yes,no,no,no
5,0,"12 Angry Men",1957,http://www.icheckmovies.com/movies/12+angry+men/,53088,8118,114,29,1182,,http://www.imdb.com/title/tt0050083/,"2009-11-14 17:45:42",no,no,no,no
6,0,"Schindler's List",1993,http://www.icheckmovies.com/movies/schindlers+list/,87303,7941,267,32,1274,,http://www.imdb.com/title/tt0108052/,"2009-11-14 17:45:40",no,no,no,no
7,0,"The Lord of the Rings: The Return of the King",2003,http://www.icheckmovies.com/movies/the+lord+of+the+rings+the+return+of+the+king/,128051,12661,728,26,1484,,http://www.imdb.com/title/tt0167260/,"2009-11-14 17:45:46",no,no,no,no
8,0,"Pulp Fiction",1994,http://www.icheckmovies.com/movies/pulp+fiction/,123047,19699,618,37,1854,,http://www.imdb.com/title/tt0110912/,"2009-11-14 17:44:28",yes,no,no,no
9,0,"Il buono, il brutto, il cattivo",1966,http://www.icheckmovies.com/movies/il+buono+il+brutto+il+cattivo/,47767,6801,155,26,1200,"The Good, the Bad and the Ugly",http://www.imdb.com/title/tt0060196/,"2009-12-21 04:44:28",no,no,no,no
10,0,"The Lord of the Rings: The Fellowship of the Ring",2001,http://www.icheckmovies.com/movies/the+lord+of+the+rings+the+fellowship+of+the+ring/,133606,12564,742,27,1539,,http://www.imdb.com/title/tt0120737/,"2009-11-14 17:45:51",no,no,no,no
11,0,"Fight Club",1999,http://www.icheckmovies.com/movies/fight+club/,127789,20789,598,17,1451,,http://www.imdb.com/title/tt0137523/,"2009-11-14 17:44:32",no,no,no,no
12,0,"Forrest Gump",1994,http://www.icheckmovies.com/movies/forrest+gump/,138730,12299,814,24,1128,,http://www.imdb.com/title/tt0109830/,"2009-11-14 17:46:02",no,no,no,no
13,0,Inception,2010,http://www.icheckmovies.com/movies/inception/,129809,16298,919,19,1393,,http://www.imdb.com/title/tt1375666/,"2013-05-01 18:21:00",no,no,no,no
14,0,"The Lord of the Rings: The Two Towers",2002,http://www.icheckmovies.com/movies/the+lord+of+the+rings+the+two+towers/,127860,10782,604,24,1310,,http://www.imdb.com/title/tt0167261/,"2009-11-14 17:45:55",no,no,no,no
15,0,"Star Wars: Episode V - The Empire Strikes Back",1980,http://www.icheckmovies.com/movies/star+wars+episode+v+-+the+empire+strikes+back/,110618,9808,444,23,1300,,http://www.imdb.com/title/tt0080684/,"2009-11-14 17:45:44",no,no,no,no
16,0,"The Matrix",1999,http://www.icheckmovies.com/movies/the+matrix/,132759,12697,738,28,1364,,http://www.imdb.com/title/tt0133093/,"2009-11-14 17:44:52",no,no,no,no
17,0,Goodfellas,1990,http://www.icheckmovies.com/movies/goodfellas/,73565,8155,202,30,1339,,http://www.imdb.com/title/tt0099685/,"2009-11-14 17:45:47",no,no,no,no
18,0,"One Flew Over the Cuckoo's Nest",1975,http://www.icheckmovies.com/movies/one+flew+over+the+cuckoos+nest/,75189,8175,213,33,1242,,http://www.imdb.com/title/tt0073486/,"2009-11-14 17:45:41",no,no,no,no
19,0,"Shichinin no samurai",1954,http://www.icheckmovies.com/movies/shichinin+no+samurai/,28541,3961,116,34,1237,"Seven Samurai",http://www.imdb.com/title/tt0047478/,"2015-06-18 16:01:29",no,no,no,no
20,0,Se7en,1995,http://www.icheckmovies.com/movies/se7en/,104501,11132,349,25,1220,,http://www.imdb.com/title/tt0114369/,"2009-11-14 17:44:55",no,no,no,no
21,0,"La vita è bella",1997,http://www.icheckmovies.com/movies/la+vita+e+bella/,51941,5606,379,19,726,"Life Is Beautiful",http://www.imdb.com/title/tt0118799/,no,no,no,yes,no
22,0,"Cidade de Deus",2002,http://www.icheckmovies.com/movies/cidade+de+deus/,52236,6732,205,21,985,"City of God",http://www.imdb.com/title/tt0317248/,"2014-04-21 22:36:59",no,no,no,no
